,Lat,Lon,District,Small_district,Rooms,Price,Price_duplicate,Totsp,Livesp,Kitsp,Dist,Stname,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,Link
2145,55.86015,37.482331,1,Левобережный,2,8499000,8499000.0,50.0,,28.0,825.490533529,Речной вокзал,7,1,0,1,1,7,9,0,http://www.cian.ru/sale/flat/151471309/
2146,55.670397,37.774751,4,,2,6882642,6882642.0,57.1,10.4,33.8,655.084907829,Люблино,4,0,,0,1,8,17,1,http://www.cian.ru/sale/flat/150842899/
2147,55.804794,37.797828,3,Северное Измайлово,2,6500000,6500000.0,38.0,7.5,23.0,384.158729243,Щелковская,5,1,0,1,0,2,9,0,http://www.cian.ru/sale/flat/150859992/
2148,55.711016,37.436283,7,,1,6500000,6500000.0,42.0,,,346.144899468,Славянский бульвар,5,0,,0,0,6,7,0,http://www.cian.ru/sale/flat/150099028/
2149,55.697179,37.512577,7,Раменки,1,10400000,10400000.0,39.0,9.6,17.0,451.911734465,Университет,15,1,0,1,1,12,22,0,http://www.cian.ru/sale/flat/149544573/
2150,55.736316,37.652157,0,Таганский,2,17399000,17399000.0,50.0,,44.0,151.393734065,Таганская,7,1,1,1,0,10,10,0,http://www.cian.ru/sale/flat/149840531/
2151,55.579811,37.67131,5,,1,7395765,7395765.0,58.2,15.3,28.5,1326.33860357,Царицыно,20,0,,0,0,3,17,1,http://www.cian.ru/sale/flat/151360773/
2152,55.71236,37.882566,3,Косино-Ухтомский,2,10800000,10800000.0,72.0,13.0,32.0,335.843274052,Выхино,10,0,0,0,1,2,17,0,http://www.cian.ru/sale/flat/148257088/
2153,55.54265,37.483912,9,,1,4675320,4675320.0,46.8,9.8,23.7,1594.11273674,Бунинская аллея,5,0,,0,0,10,18,1,http://www.cian.ru/sale/flat/150508301/
2154,55.734273,37.827491,3,Вешняки,3,12000000,12000000.0,72.0,10.0,43.0,167.184458827,Новогиреево,10,1,0,0,1,7,17,0,http://www.cian.ru/sale/flat/149226799/
2155,55.594479,37.535062,6,,2,5800000,5800000.0,46.0,,27.0,1219.39036452,Ясенево,15,1,,0,1,9,9,0,http://www.cian.ru/sale/flat/140529602/
2156,55.49766,36.917628,10,,1,2589645,2589645.0,34.0,8.3,17.5,1911.96555058,Саларьево,37,0,,0,1,3,3,1,http://www.cian.ru/sale/flat/151240472/
2157,55.661196,37.410774,7,,2,6645600,6645600.0,58.5,10.2,32.2,724.405794121,Юго-Западная,10,0,,0,1,1,25,1,http://www.cian.ru/sale/flat/149310012/
2158,55.855083,37.565111,1,Бескудниковский,1,5800000,5800000.0,39.0,10.0,21.0,784.798160966,,,,0,1,1,12,12,0,http://www.cian.ru/sale/flat/150207856/
2159,55.829178,37.597297,2,Марфино,1,5990000,5990000.0,32.0,,22.0,577.677092791,Петровско-Разумовская,14,1,0,1,1,6,9,0,http://www.cian.ru/sale/flat/151568612/
2160,55.714587,37.747451,4,Рязанский,1,7400000,7400000.0,43.0,14.0,20.0,318.762557172,Кузьминки,14,1,0,0,1,4,24,0,http://www.cian.ru/sale/flat/150282718/
2161,55.49766,36.917628,10,,2,3000000,3000000.0,61.7,10.8,35.1,1911.96555058,Юго-Западная,35,0,,0,1,2,3,1,http://www.cian.ru/sale/flat/150576662/
2162,55.649277,37.497643,6,,2,9354560,9354560.0,65.6,10.0,18.9,813.832064225,Юго-Западная,7,0,,0,0,4,7,1,http://www.cian.ru/sale/flat/150967069/
2163,55.628273,37.342076,9,,1,5690520,5690520.0,43.1,12.2,,970.380718666,Саларьево,10,0,,0,0,8,9,1,http://www.cian.ru/sale/flat/148473245/
2164,55.840912,37.495231,1,,2,11328600,11328600.0,71.7,23.9,29.8,671.303102673,Водный стадион,8,1,,0,1,18,26,1,http://www.cian.ru/sale/flat/150740760/
2165,55.598492,37.655122,5,Бирюлёво Восточное,1,4800000,4800000.0,36.0,,18.0,1190.00965625,Царицыно,5,0,0,1,1,8,10,0,http://www.cian.ru/sale/flat/151421808/
2166,55.535473,37.514967,6,Южное Бутово,1,6080000,6080000.0,39.0,8.5,21.0,1645.29131422,Бунинская аллея,4,1,0,0,0,5,9,0,http://www.cian.ru/sale/flat/148281227/
2167,55.646035,37.75426,4,Марьино,1,6595000,6595000.0,41.7,9.1,20.8,838.082821414,Марьино,5,0,0,1,1,6,8,0,http://www.cian.ru/sale/flat/33698572/
2168,55.729384,37.739991,4,,1,7062233,7062233.0,39.7,,,204.926901411,Рязанский проспект,6,0,,0,1,2,9,1,http://www.cian.ru/sale/flat/151572475/
2169,55.709743,37.762677,4,Кузьминки,2,5800000,5800000.0,45.0,,28.0,355.897705477,Кузьминки,7,1,0,1,1,4,5,0,http://www.cian.ru/sale/flat/150807898/
2170,55.755834,37.806299,3,Перово,2,6600000,6600000.0,38.2,,24.0,0.0233502238223,Новогиреево,10,1,0,1,1,5,14,0,http://www.cian.ru/sale/flat/150605710/
2171,55.516909,37.352039,9,поселение Десёновское,1,4200000,4200000.0,34.0,,16.0,1776.8424633,Теплый Стан,15,0,0,0,1,15,17,0,http://www.cian.ru/sale/flat/150746811/
2172,55.495955,37.323185,10,,1,5500000,5500000.0,42.0,14.0,18.0,1923.87031341,Теплый Стан,25,0,,0,0,3,3,0,http://www.cian.ru/sale/flat/149692110/
2173,55.863015,37.671022,2,Бабушкинский,2,9400000,9400000.0,49.9,10.2,28.9,848.524535399,Бабушкинская,10,1,0,0,1,2,16,0,http://www.cian.ru/sale/flat/151471613/
2174,55.21427,37.067543,10,,2,3482900,3482900.0,60.0,8.7,36.0,3730.81216501,,,,,0,1,2,4,0,http://www.cian.ru/sale/flat/150383007/
2175,55.661196,37.410774,7,,2,8923840,8923840.0,70.6,15.3,30.7,724.405794121,Юго-Западная,10,0,,0,1,10,25,1,http://www.cian.ru/sale/flat/149477224/
2176,55.492212,37.314813,10,,1,2650000,2650000.0,39.8,10.0,19.0,1949.96811194,,,,,0,1,14,16,1,http://www.cian.ru/sale/flat/149810508/
2177,55.517648,37.228431,10,,1,3400000,3400000.0,41.0,8.5,21.0,1771.62867013,Юго-Западная,35,0,,0,1,5,5,0,http://www.cian.ru/sale/flat/35174824/
2178,55.849868,37.343856,8,Митино,3,11000000,11000000.0,75.0,10.0,45.4,742.977980146,Пятницкое шоссе,11,1,0,0,1,5,14,0,http://www.cian.ru/sale/flat/16392484/
2179,55.716245,37.787623,4,Рязанский,2,7500000,7500000.0,42.1,,28.9,306.03709809,Рязанский проспект,5,1,1,1,0,2,9,0,http://www.cian.ru/sale/flat/151543324/
2180,55.68767,37.719828,4,Печатники,1,4800000,4800000.0,27.0,,15.4,524.28397697,Печатники,12,1,0,0,0,2,9,0,http://www.cian.ru/sale/flat/150620015/
2181,55.649277,37.497643,6,,1,6058200,6058200.0,43.9,15.9,14.0,813.832064225,Юго-Западная,7,0,,0,0,2,7,1,http://www.cian.ru/sale/flat/150967130/
2182,55.776937,37.49488,8,Хорошёво-Мнёвники,3,12100000,12100000.0,76.0,,52.0,164.853252478,Полежаевская,10,0,1,1,1,4,4,0,http://www.cian.ru/sale/flat/149491992/
2183,55.848943,37.578073,2,,1,5827720,5827720.0,36.1,,,735.566681712,,,,,0,0,8,20,1,http://www.cian.ru/sale/flat/151118855/
2184,55.756194,37.656568,0,Басманный,3,15800000,15800000.0,67.7,7.6,44.7,2.82557455126,Курская,3,1,1,1,1,4,7,0,http://www.cian.ru/sale/flat/151103223/
2185,55.560688,37.587263,6,Северное Бутово,1,6300000,6300000.0,39.0,,18.0,1464.71144491,Бульвар Дмитрия Донского,12,1,0,0,1,15,24,0,http://www.cian.ru/sale/flat/146179123/
2186,55.829375,37.668929,2,Ростокино,1,5200000,5200000.0,35.0,10.0,20.0,579.246304251,ВДНХ,25,0,1,0,1,11,12,0,http://www.cian.ru/sale/flat/150886788/
2187,55.86107,37.373322,8,,3,8057967,8057967.0,72.1,,,832.885132782,Пятницкое шоссе,15,1,,0,1,14,25,1,http://www.cian.ru/sale/flat/151117957/
2188,55.873784,37.521623,1,Западное Дегунино,2,5450000,5450000.0,44.0,,26.0,935.268835317,Речной вокзал,10,0,0,0,1,11,12,0,http://www.cian.ru/sale/flat/150800713/
2189,55.859003,37.417553,8,Северное Тушино,2,11000000,11000000.0,54.0,,32.0,816.274063919,Планерная,15,1,0,1,1,7,17,0,http://www.cian.ru/sale/flat/150851736/
2190,55.890643,37.675163,2,Северное Медведково,2,9000000,9000000.0,52.0,,30.0,1071.57989367,Медведково,13,1,0,0,1,7,12,0,http://www.cian.ru/sale/flat/151140099/
2191,55.732235,37.531577,7,Раменки,2,9900000,9900000.0,47.0,,32.0,182.92537534,Киевская,10,0,0,1,1,3,12,0,http://www.cian.ru/sale/flat/150619504/
2192,55.76684,37.735395,3,Соколиная Гора,2,12300000,12300000.0,59.0,11.0,31.0,85.8455202359,Семеновская,7,0,0,1,1,17,17,0,http://www.cian.ru/sale/flat/151131935/
2193,55.728246,37.417625,7,Кунцево,2,5800000,5800000.0,44.0,,31.0,213.702862965,Молодежная,5,0,0,1,1,6,9,0,http://www.cian.ru/sale/flat/149041301/
2194,55.622364,37.306658,9,,1,5200000,5200000.0,38.5,8.3,26.4,1014.17883624,Саларьево,10,0,,0,1,6,17,1,http://www.cian.ru/sale/flat/150519441/
2195,55.835714,37.495442,1,,2,9750000,9750000.0,39.1,,28.6,629.788451777,Водный стадион,3,1,,0,1,12,23,1,http://www.cian.ru/sale/flat/149836851/
2196,55.674666,37.487712,7,Проспект Вернадского,3,11000000,11000000.0,56.0,,42.0,622.837901336,Проспект Вернадского,16,0,0,1,0,1,5,0,http://www.cian.ru/sale/flat/150830437/
2197,55.663372,37.515206,6,,2,21900000,21900000.0,81.3,15.2,36.3,708.034145492,Калужская,10,0,,0,1,5,8,1,http://www.cian.ru/sale/flat/150709232/
2198,55.819884,37.704368,3,,1,9900000,9900000.0,43.4,,,503.749590787,Преображенская площадь,7,0,,0,0,16,29,0,http://www.cian.ru/sale/flat/149741692/
2199,55.87875,37.538587,1,,2,7140457,7140457.0,51.7,,,975.356337026,,,,,0,1,16,21,1,http://www.cian.ru/sale/flat/150119600/
2200,55.759818,37.738273,3,,3,12671945,12671945.0,88.1,12.7,54.5,31.0534142962,Шоссе Энтузиастов,10,1,,0,1,3,32,1,http://www.cian.ru/sale/flat/151507070/
2201,55.360085,37.404663,10,,3,2900000,2900000.0,47.0,,33.0,2837.06845251,,,,,0,0,1,5,0,http://www.cian.ru/sale/flat/50908703/
2202,55.836757,37.641009,2,Ростокино,2,8990000,8990000.0,45.0,,29.0,638.11350105,Ботанический сад,10,1,1,1,1,6,14,0,http://www.cian.ru/sale/flat/145493808/
2203,55.735236,37.674292,0,Таганский,3,12250000,12250000.0,60.0,,43.0,159.742647725,Крестьянская застава,7,1,0,0,0,5,9,0,http://www.cian.ru/sale/flat/151522446/
2204,55.700966,37.93937,4,,2,5876000,5876000.0,56.5,,,423.018020783,Выхино,15,0,,0,1,2,25,1,http://www.cian.ru/sale/flat/151233163/
2205,55.533279,37.450112,9,,1,3850000,3850000.0,48.0,,24.0,1660.90118121,Теплый Стан,15,0,,0,1,8,17,1,http://www.cian.ru/sale/flat/51747774/
2206,55.74107,37.432232,7,Кунцево,1,9500000,9500000.0,40.0,8.5,20.0,114.605993039,Крылатское,8,1,0,1,1,10,16,0,http://www.cian.ru/sale/flat/151138249/
2207,55.673351,37.810396,4,Люблино,2,6000000,6000000.0,43.0,,28.2,632.776749222,Люблино,10,0,1,1,1,6,9,0,http://www.cian.ru/sale/flat/149451504/
2208,55.642677,37.388906,7,,3,8916420,8916420.0,85.9,,,863.167910829,Юго-Западная,25,0,,0,1,13,19,1,http://www.cian.ru/sale/flat/150998862/
2209,55.504206,37.539042,9,,1,2090000,2090000.0,18.0,,16.0,1866.16255919,Бунинская аллея,15,0,,0,0,1,17,0,http://www.cian.ru/sale/flat/151363597/
2210,55.748919,37.595609,0,Арбат,2,12700000,12700000.0,39.0,6.5,23.0,53.7369311122,Арбатская,9,1,1,1,1,2,12,0,http://www.cian.ru/sale/flat/150452675/
2211,55.861503,37.678348,2,,1,9308124,9308124.0,60.1,17.4,24.4,836.366075125,,,,,0,1,8,16,1,http://www.cian.ru/sale/flat/151180006/
2212,55.557317,37.555005,6,,2,6824633,6824633.0,55.7,7.6,31.3,1488.97777419,Улица Скобелевская,15,1,,0,1,26,31,1,http://www.cian.ru/sale/flat/151511844/
2213,55.711671,37.80709,4,Выхино-Жулебино,1,5500000,5500000.0,38.0,,19.0,341.125014228,Выхино,15,0,0,1,1,6,16,0,http://www.cian.ru/sale/flat/150620499/
2214,55.82177,37.512793,1,Войковский,3,9500000,9500000.0,60.0,6.8,43.0,518.734879705,Войковская,15,1,0,1,1,8,9,0,http://www.cian.ru/sale/flat/150246482/
2215,55.8473,37.355534,8,Митино,3,11600000,11600000.0,79.0,10.0,45.0,722.407438682,Митино,7,1,0,0,1,9,22,0,http://www.cian.ru/sale/flat/150094636/
2216,55.485698,37.308202,10,Троицк,2,8499000,8499000.0,66.0,12.0,37.0,1995.26531037,Теплый Стан,20,0,1,1,1,5,17,0,http://www.cian.ru/sale/flat/148360327/
2217,55.617876,37.757548,5,Зябликово,1,5790000,5790000.0,42.2,8.7,21.1,1047.37202605,Красногвардейская,7,1,0,0,1,10,14,0,http://www.cian.ru/sale/flat/150497209/
2218,55.523535,37.214516,10,поселение Первомайское,1,2900000,2900000.0,30.0,,17.0,1730.02620438,Тропарево,30,0,1,1,1,2,3,0,http://www.cian.ru/sale/flat/45083117/
